date,day,active_services,Number_of_Active_services,Number_of_Active_Trips,category
2024-12-28,saturday,"['100347-10', '100347-18', '100347-038e6790dac6c885', '100347-0a18f67f9a250737', '100347-044b5f27a2e534bc', '100347-03d65e5cb5b6d449', '100347-041383092932c5b5']",7,10569,8
2024-12-29,sunday,"['100347-2', '100347-17', '100347-038e6790dac6c885', '100347-0a18f67f9a250737', '100347-044b5f27a2e534bc']",5,9798,12
2024-12-30,monday,"['100347-16', '100347-0908c966eabe46c1', '100347-07b2cf94d333d9ff', '100347-038e6790dac6c885', '100347-044b5f27a2e534bc', '100347-0496545ad1f222bf', '100347-023de4510d07c907', '100347-046dc0c6bdea2e78']",8,14871,9
2024-12-31,tuesday,"['100347-0908c966eabe46c1', '100347-07b2cf94d333d9ff', '100347-046dc0c6bdea2e78']",3,13801,4
2025-01-01,wednesday,['100347-2'],1,8964,10
2025-01-02,thursday,['100347-7'],1,13876,16
2025-01-03,friday,['100347-8'],1,13881,17
2025-01-04,saturday,['100347-10'],1,9687,6
2025-01-05,sunday,['100347-2'],1,8964,10
2025-01-06,monday,['100347-7'],1,13876,16
2025-01-07,tuesday,['100347-7'],1,13876,16
2025-01-08,wednesday,['100347-7'],1,13876,16
2025-01-09,thursday,['100347-7'],1,13876,16
2025-01-10,friday,['100347-8'],1,13881,17
2025-01-11,saturday,['100347-10'],1,9687,6
2025-01-12,sunday,['100347-2'],1,8964,10
2025-01-13,monday,['100347-7'],1,13876,16
2025-01-14,tuesday,['100347-7'],1,13876,16
2025-01-15,wednesday,['100347-7'],1,13876,16
2025-01-16,thursday,['100347-7'],1,13876,16
2025-01-17,friday,"['100347-5', '100347-0908c966eabe46c1', '100347-07b2cf94d333d9ff', '100347-046dc0c6bdea2e78']",4,13806,14
2025-01-18,saturday,['100347-10'],1,9687,6
2025-01-19,sunday,['100347-2'],1,8964,10
2025-01-20,monday,"['100347-1', '100347-0908c966eabe46c1']",2,10002,5
2025-01-21,tuesday,['100347-7'],1,13876,16
2025-01-22,wednesday,['100347-7'],1,13876,16
2025-01-23,thursday,['100347-7'],1,13876,16
2025-01-24,friday,['100347-8'],1,13881,17
2025-01-25,saturday,['100347-10'],1,9687,6
2025-01-26,sunday,['100347-2'],1,8964,10
2025-01-27,monday,"['100347-0908c966eabe46c1', '100347-07b2cf94d333d9ff', '100347-046dc0c6bdea2e78']",3,13801,4
2025-01-28,tuesday,['100347-7'],1,13876,16
2025-01-29,wednesday,['100347-7'],1,13876,16
2025-01-30,thursday,['100347-7'],1,13876,16
2025-01-31,friday,['100347-8'],1,13881,17
2025-02-01,saturday,['100347-10'],1,9687,6
2025-02-02,sunday,['100347-2'],1,8964,10
2025-02-03,monday,['100347-7'],1,13876,16
2025-02-04,tuesday,['100347-7'],1,13876,16
2025-02-05,wednesday,['100347-7'],1,13876,16
2025-02-06,thursday,['100347-7'],1,13876,16
2025-02-07,friday,['100347-8'],1,13881,17
2025-02-08,saturday,['100347-10'],1,9687,6
2025-02-09,sunday,['100347-2'],1,8964,10
2025-02-10,monday,['100347-7'],1,13876,16
2025-02-11,tuesday,['100347-7'],1,13876,16
2025-02-12,wednesday,['100347-7'],1,13876,16
2025-02-13,thursday,['100347-7'],1,13876,16
2025-02-14,friday,"['100347-5', '100347-0908c966eabe46c1', '100347-07b2cf94d333d9ff', '100347-046dc0c6bdea2e78']",4,13806,14
2025-02-15,saturday,['100347-10'],1,9687,6
2025-02-16,sunday,['100347-2'],1,8964,10
2025-02-17,monday,"['100347-1', '100347-0908c966eabe46c1']",2,10002,5
2025-02-18,tuesday,['100347-7'],1,13876,16
2025-02-19,wednesday,['100347-7'],1,13876,16
2025-02-20,thursday,['100347-7'],1,13876,16
2025-02-21,friday,['100347-8'],1,13881,17
2025-02-22,saturday,['100347-10'],1,9687,6
2025-02-23,sunday,['100347-2'],1,8964,10
2025-02-24,monday,['100347-7'],1,13876,16
2025-02-25,tuesday,['100347-7'],1,13876,16
2025-02-26,wednesday,['100347-7'],1,13876,16
2025-02-27,thursday,['100347-7'],1,13876,16
2025-02-28,friday,['100347-8'],1,13881,17
2025-03-01,saturday,['100347-10'],1,9687,6
2025-03-02,sunday,['100347-2'],1,8964,10
2025-03-03,monday,['100347-7'],1,13876,16
2025-03-04,tuesday,['100347-7'],1,13876,16
2025-03-05,wednesday,['100347-7'],1,13876,16
2025-03-06,thursday,['100347-7'],1,13876,16
2025-03-07,friday,['100347-8'],1,13881,17
2025-03-08,saturday,['100347-10'],1,9687,6
2025-03-09,sunday,['100347-2'],1,8964,10
2025-03-10,monday,['100347-7'],1,13876,16
2025-03-11,tuesday,['100347-7'],1,13876,16
2025-03-12,wednesday,['100347-7'],1,13876,16
